AAB	Abelag Aviation	ABG
LUK	Lukoil-Avia - Russian Federation	Lukoil
LUT	Luft Cargo (Pty) Ltd - South Africa	Lugo
LUV	?	Airsing
LVB	IRS Airlines - Nigeria	Silverbird
LVN	Aliven S.r.l. - Italy	Aliven
LVS	Mexico	Signia
LVT	La Valenciana Taxi Aereo, S.A. de C.V. - Mexico	Taxivalenciana
LVW	?	Longview
LWA	?	Libyan Wings
LWC	?	Transaca
LWG	Luxwing - Malta	Luxwing
LWI	?	Lumi
LWL	?	Cub Driver
LXA	Luxaviation S.A. - Luxembourg	Red Lion
LXC	CAE Aviation - Luxembourg	Luxvan
LXF	Lynx Air International (Fort Lauderdale, FL)	Lynx Flight
LXG	?	Lux Aviation
LXJ	Bombardier Aerospace D/B/A Bombardier Business Jet Solutions, Inc. (Dallas, TX)	Flexjet
LXP	Transporte Aereo S.A. (Lan Express) - Chile	Lanex
LXR	?	Sky Luxury
LXS	Lynx Servicios Aereos, S.A. de C.V.	Lynx Servicios
LXX	?	Libyanexpress
LYB	?	Highlands
LYC	?	Lynden
LYD	Lydd Air Ltd - United Kingdom	Lyddair
LYF	Lithuanian Air Force Safety Department - Lithuania	Lithuanian Airforce
LYH	Yankee Lima Helicopteres	Heliguyane
LYM	Key Lime Air (Englewood, CO)	Key Lime
LYN	Kyrgyzstan	Altyn Avia
LYX	Lynx Aviation (Private) Limited	Lynx Air
LZA	Lanza Air, S.L. - Spain	Aerolanza
LZB	Bulgaria Air	Flying Bulgaria
LZF	?	Skylease
LZP	Air Ban - Bulgaria	Doc Air
LZR	Air Lazur - General Aviation Ltd - Bulgaria	Lazur Bee-Gee
MAA	Aerotransportes Mas de Carga, S.A. de C.V. - Mexico	Mas Carga
MAB	Mid Asia Airlines Limited - Bangladesh	Mid Asia
MAC	Air Arabia Maroc	Arabia Maroc
MAE	Mali Air Luftverkehr Gesellschaft M.B.H. - Austria	Mali Airexpress
MAF	?	Aeromas
MAG	Meridian Airways Limited - Ghana	Merid Air
MAJ	?	Me Tack
MAK	Makedonski Aviotransport-Macedonian Airlines	Makavio
MAL	Morningstar Air Inc. - Canada	Morningstar
MAN	Mannion Air Charter, Inc. (Ypsilanti, MI)	Mannion
MAO	?	Mayo
MAQ	Mac Aviation, S.L.	Mac Aviation
MAR	?	Hellasmed
MAS	?	Malaysian
MAT	Maine Aviation Corporation (Portland, ME)	Maine-Av
MAU	Air Mauritius Limited - Mauritius	Airmauritius
MAV	?	Minoan
MAW	Mustique Airways - Saint Vincent and the Grenadines	Mustique
MAX	Max-Aviation - Canada	Max Aviation
MAY	Majestic Executive Aviation AG	Majesty
MAZ	Mines Air Services Zambia Limited - Zambia	Mines
MBA	Avag Air GmbH Fur Luftfahrt - Austria	Avag Air
MBB	Air Manas - Kyrgyzstan	Air Manas
MBC	Airjet Exploracao Aerea de Carga, Passageiros e Correios, Lda - Angola	Mabeco
MBE	Martin-Baker Ltd. - United Kingdom	Martin
MBF	?	Mabe Flights
MBG	Zephyr Aviation Ltd	Chalgrove
MBN	Zambian Airways Limited	Zambiana
MBR	Brazilian Navy Aviation - Brazil	Brazilian Navy
MBS	Mbachi Air/Ground Services Limited - Malawi	Mbachi Air
MBT	Province of Manitoba, Air Services Branch	Manitoba
MCC	MCC Aviation (Pty) Ltd - South Africa	Discovery
MCD	Air Medical Ltd	Air Med
MCE	Marshall Aerospace	Marshall
MCG	?	Medicopter
MCH	?	Match Jet
MCJ	Macair Jet S.A.	Jetmac
MCL	Medical Aviation Services Ltd - United Kingdom	Medic
MCM	Heli-Air-Monaco - Monaco	Heli Air
MCO	Aerolineas Marcos, S.A. de C.V. - Mexico	Marcos
MCP	Marcopolo Airways - Afghanistan	Marcopolo
MCS	Mexico	Carmex
MCT	Transportacion Aerea del Mar de Cortes, S.A. de C.V. - Mexico	Trans Cortes
MCV	MTC Aviacion, S.A. de C.V. - Mexico	MTC Aviacion
MCW	Aviation Machine Works - Centrafrique (AMW-Centrafrique) - Central African Republic	Machine Works
MCX	Cargo Express - Mauritania	Mauricargo
MCY	Ambulance Air Africa - South Africa	Mercy
MDA	?	Mandarin
MDE	Mauritanienne de Transport Aerien - Mauritania	Mauri-Trans
MDF	Swiftair Hellas S.A. - Greece	Med-freight
MDG	Air Madagascar, Societe Nationale Malgache de Transports Aeriens - Madagascar	Air Madagascar
MDI	?	Medops
MDJ	Jetran Air - Romania	Jetran Air
MDK	?	Madikwe
MDL	Mandala Airlines, Pt. - Indonesia	Mandala
MDM	Medavia Company Ltd - Malta	Medavia
MDP	Medallion Air - Romania	Medals
MDR	Compania Mexicana de Aeroplanos, S.A. - Mexico	Aeroplanos
MDS	McNeely Charter Services, Inc. (West Memphis, AR) - United States	Mid-South
MDT	Sundt Air A/S	Midnight
MDV	Moldavian Airlines - Republic of Moldova	Moldavian
MDW	?	Medwing
MDX	?	Medair
MEA	Middle East Airlines - Airliban - Lebanon	Cedar Jet
MEC	?	Mercair
MEE	?	Elimediterranea
MEF	Air Meridian Limited - Nigeria	Empennage
MEG	?	Sandbar
MEI	Merlin Airways, Inc. (Billings, MT) - United States	Avalon
MEJ	Medjet International, Inc. (Birmingham, AL) - United States	Medjet
MEK	Med-Trans of Florida, Inc. (Tampa, FL) - United States	Med-Trans
MEL	Mega Linhas Aereas - Brazil	Mega Air
MEM	Meridian Ltd - Ukraine	Meridian Cherry
MEN	Mena Aerospace (Bahrain) - Bahrain	Rahal
MER	Methow Aviation, Inc. (East Wenatchee, WA) - United States	Methow
MES	Mesaba Aviation (Grand Rapids, MN) - United States	Mesaba
MET	Meteorological Research Flight - United Kingdom	Metman
MEV	Med-View Airlines (Nigeria) Limited - Nigeria	Med-View
MFA	Martyn Fiddler Associates - United Kingdom	Seahorse
MFB	?	Mountainheli
MFC	Moncton Flying Club - Canada	East Wind
MFD	Monarch Air Group, LLC (Ft. Lauderdale, FL)	Freight Dog
MFG	?	Mid Africa
MFL	Aero McFly, S.A. de C.V. - Mexico	McFly
MFR	Midline Air Freight (Owensboro, KY)	Midline Freight
MFT	Multiflight Ltd - United Kingdom	Yorkair
MFY	?	Medifly Mex
MGA	M G Aviacion S.L.	Mag Aviacion
MGC	?	Mongolia Cargo
MGD	?	Miami Air
MGE	Aero-Micronesia, Inc. D/B/A Asia Pacific Airlines (Danville, CA)	Magellan
MGF	?	Foglia
MGG	Elmagal Aviation Services Co. Ltd - Sudan	Elmagal
MGH	MGH Global Airlines Limited - Bangladesh	MGH Global
MGI	Marghi Air Limited - Nigeria	Marghi
MGL	Mongolian Airlines	Mongol Air
MGM	Transporte Aereo MGM, S.A. de C.V. - Mexico	Aero Emm-Gee-Emm
MGO	Punto Fa S.L. - Spain	Mango
MGP	Bangladesh	Magpie
MGS	Aeromagar, S.A. de C.V. - Mexico	Aeromagar
MGT	Air Attack Technologies - France	Mightyvan
MGX	Montenegro Airlines	Montair
MHA	Mountain High Aviation (Walla Walla, WA)	Mountain High
MHC	Aero Jomacha, S.A. de C.V. - Mexico	Aero Jomacha
MHD	Yas Airline	Yas Air
MHF	?	Air Maritime
MHK	Al-Naser Airlines - Iraq	Al-Naser
MHL	Meridian Airlines Ltd - Nigeria	Hassimair
MHN	Manhattan Air Limited	Manhattan
MHO	?	Mahalo
MHQ	Skargardshavets Helikoptertjanst Ab (SHT)	Helicare
MHS	Air Memphis - Egypt	Air Memphis
MHU	Air Memphis - Uganda	Memphis Uganda
MHV	?	Snowcap
MIA	Mauria, Societe Mauritanienne D'Aviation - Mauritania	Mauria
MIC	Mint Lineas Aereas, S.A. - Spain	Mint Airways
MID	?	Midcoast
MIE	Aero Premier de Mexico, S.A. de C.V. - Mexico	Aeropremier
MIG	Russian Aircraft Corporation - MiG, Federal State Unitary Enterprise	Mig Avia
MIH	Massy Airlines	Massyline
MIM	Mimino - Russian Federation	Mimino
MIR	?	Aeromir
MIS	?	Artemis
MIT	Flight Line, Inc. (Jackson, MS)	Matco
MIX	Midex Airlines - United Arab Emirates	Midexcargo
MIZ	Desarrollo Milaz, S.A. de C.V. - Mexico	Milaz
MJA	Almajara Aviation - Sudan	Majara
MJC	Mandarin Air Co., Ltd	Air Manda
MJE	Empire Aviation Group - United Arab Emirates	Emjet
MJF	Mjet GmbH - Austria	Em-Express
MJI	Majestic Jet, Inc. (Ft. Lauderdale, FL)	Majestic Jet
MJL	Jet Line International Ltd - Republic of Moldova	Moldjet
MJN	Royal Air Force of Oman (Air Transport)	Majan
MJP	Air Majoro S.A. - Peru	Air Majoro
MJR	Midamerica Jet, Inc. (Owensboro, KY)	Major
MJS	WWW-Bedarfsluftfahrts GmbH	Medical Jet
MJT	?	Madjet
MKA	MK Airline Ltd	Kruger-Air
MKD	?	Matairways
MKE	Megantara Air, Pt. - Indonesia	Megantara
MKG	Air Mekong (Mekong Aviation Joint Stock Company) - Viet Nam	Mekong
MKH	Air Marrakech Service - Morocco	Air Marrakech
MKL	McCall Aviation, Inc. (McCall, ID) - United States	McCall
MKR	?	Air Lanme
MKU	Island Air (Honolulu, HI) - United States	Moku
MKY	Monky Aerotaxis, S.A. - Mexico	Monky
MLA	Forty-Mile Air (Tok, AK) - United States	Mile-Air
MLB	Manaf International Airways	Manaf
MLD	Air Moldova - Republic of Moldova	Air Moldova
MLE	Moldaeroservice - Republic of Moldova	Moldaero
MLI	?	Demais
MLK	Millennium Air - Nigeria	Nigerjet
MLL	Aeroclub de Mallorca - Spain	Mallorca
MLM	Comlux (Malta) Ltd - Malta	Luxmalta
MLN	?	Millennium
MLO	Servicios Aereos Milenio, S.A. de C.V. - Mexico	Milenio
MLR	Mihin Lanka (Pvt) Ltd - Sri Lanka	Mihin Lanka
MLS	Mall Airways, Inc. (Albany, NY)	Mall-Airways
MLT	?	Maleth
MLU	Zracno Pristaniste Mali Losinj D.O.O.	Mali Losinj
MLV	?	Multi Valle
MLX	Malawi Express Limited - Malawi	Malawi Express
MMA	Myanmar Airways International Co. Ltd	Myanmar
MMD	Air Alsie A/S - Denmark	Mermaid
MME	Multimedia Entertainment Group Air (Pty) Ltd T/A Mega	Majestic Air
MMF	?	Multi
MMG	Aereo Ruta Maya - Guatemala	Ruta Maya
MMH	?	Night Rider
MMI	Marina Militare Italiana	Italian Navy
MMJ	?	Macaujet
MML	Hunnu Air	Trans Mongolia
MMM	?	Aviameridian
MMN	Pro Airways, LLC (Plymouth, MA) - United States	Minuteman
MMT	SAM Intercontinental Group S.A. - Mali	Sam Inter
MMX	Airmax S.A. - Peru	Perumax
MMY	Iasco Flight Training (Redding, CA) - United States	Marmot
MMZ	Euroatlantic Airways - Portugal	Euroatlantic
MNA	Merpati Nusantara Airlines, Pt. - Indonesia	Merpati
MNB	MNG Havayollari Ve Tasimacilik A.S. - Turkey	Black Sea
MND	Corporatejets XXI S.A. - Spain	Cugat
MNE	Aerolineas Amanecer, S.A. de C.V. - Mexico	Aeroamanecer
MNG	Aero Mongolia - Mongolia	Aero Mongolia
MNH	Monarch Airlines (Grand Junction, CO)	Monarch Air
MNJ	Menajet - Lebanon	Menajet
MNO	Tulca (Pty) Ltd - South Africa	Tulca
MNP	Spirit of Manila Airlines Corp. - Philippines	Manila Sky
MNS	Manunggal Air Service, Pt.	Manunggal
MNT	Montserrat Airways Ltd (T/A Flymontserrat) - Montserrat(United Kingdom)	Montserrat
MNU	?	Mainer
MNV	Mauritanienne Aerienne Et Navale - Mauritania	Navale
MNX	Manx Airlines Ltd. - United Kingdom	Manx
MNY	Mooney Aircraft Corporation (Kerrville, TX) - United States	Mooney Flight
MOD	Aeroclube de Coimbra - Portugal	Mondego
MOL	Taxi Aereo de Morelia, S.A. de C.V. - Mexico	Taxi Morel
MON	Monarch Airlines Ltd.	Monarch
MOP	APA - Aeropublicitaria de Angola, Lda - Angola	Publicitaria
MOR	Aerolineas de Morelia, S.A. de C.V. - Mexico	Aeromorelia
MOT	Motahida Aviation - Libyan Arab Jamahiriya	Motahida
MOV	VIM Airlines - Russian Federation	Mov Air
MOW	Mohawk Airlines (Oneonta, NY) - United States	Mohawk Air
MOZ	Salzburgjetaviation GmbH - Austria	Mozart
MPA	Mid-Pacific Airlines, Inc. (Honolulu, HI)	Mid Pac
MPD	Air Comet - Spain	Red Comet
MPE	Canadian North Inc.	Empress
MPF	MAP Executive Flight Service GmbH - Austria	Executive Waltz
MPH	Martinair Holland N.V. - Netherlands	Martinair
MPI	Mosphil Aero Inc. - Philippines	Mosphil
MPO	Transportes Aereos Amparo, S.A. de C.V. - Mexico	Amparo
MPR	Empire Aviation Services Limited - Nigeria	Honey Bee
MPX	Aeromexpress, S.A. de C.V. - Mexico	Aeromexpress
MQT	Air ITM - France	Musketeer
MRA	Martinaire (Addison, TX) - United States	Martex
MRC	?	Martrans
MRD	Meridian Air Cargo, Inc. (Meridian, MS) - United States	Meridian
MRE	Namibia Commercial Aviation (Pty) Ltd	Med Rescue
MRF	Mauritanienne Air Fret - Mauritania	Maur-Fret
MRG	Manag'Air	Manag'Air
MRH	Marham FTU	Marham
MRJ	?	Meraj Airline
MRK	Markair Inc. (Anchorage, AK)	Markair
MRM	?	Murman
MRN	Missions Gouvernementales Francaises - France	Marianne
MRO	Morrison Flying Service, Inc. (Helena, MT) - United States	Morrison
MRP	Abas	Abas
MRR	West Isle Air, Inc. (Anacortes, WA), D/B/A San Juan Airlines	Mariner
MRS	?	Mars Cargo
MRT	Air Mauritanie - Mauritania	Mike Romeo
MRW	Mars RK Ltd - Ukraine	Aviamars
MRX	Hermen's Markair Express (St. Mary's, AK) - United States	Speedmark
MRY	?	Air Marine
MRZ	Medical Air Rescue Services (MARS) - Zimbabwe	Mars
MSA	?	Mistral Wings
MSB	?	Long
MSE	Egyptair Express	Egyptair Express
MSF	?	Minsheng
MSG	SAR - Servico Aereo Regional - Mozambique	Sar-Regional
MSH	U S Marshals Service, U.S. Department of Justice (Washington, DC)	Marshalair
MSI	Motor Sich - Ukraine	Motor Sich
MSJ	?	Magnum Air
MSK	Air Sport - Bulgaria	Air Sport
MSL	Marsland Aviation - Sudan	Marslandair
MSM	Aeromas - Uruguay	Aeromas Express
MSN	?	Milcargo
MSO	Aerolineas Mesoamericanas, S.A. de C.V. - Mexico	Meso Americanas
MSP	Servicio de Vigilancia Aerea del Ministerio de Seguridad Publica - Costa Rica	Seguridad
MSQ	Meta - Mesquita Transportes Aereos Ltda - Brazil	Meta
MSR	Egypt Air	Egyptair
MST	Master Top Linhas Aereas Ltda. - Brazil	Master
MSU	Lesotho	Maluti Sky
MSX	Egyptair Cargo	Egyptair Cargo
MSY	Massey University School of Aviation - New Zealand	Massey
MTA	Mitchell Aero, Inc. D/B/A Gak/Mitchell  Aero, Inc. (Milwaukee, WI) - United States	Gak Aviation
MTB	Aerotaxis Metropolitanos, S.A. de C.V. - Mexico	Aerometropolis
MTE	MT Fly	Telejet
MTF	Interjet S.r.l. - Italy	Interjet
MTG	?	Aero Tete
MTH	Massachusetts Institute of Technology (Lexington, MA) - United States	Research
MTI	Monterrey Air Taxi, S.A. de C.V. - Mexico	Monterrey Air
MTJ	Metrojet Limited - Hong Kong, China	Metrojet
MTK	Air Metack, Lda - Angola	Airmetack
MTL	Raf-Avia - Latvia	Mitavia
MTM	?	Metachem
MTN	Mountain Air Cargo, Inc. (Denver, NC)	Mountain
MTR	Metroflight Inc. (Houston, TX)	Metro
MTS	?	Medservice
MTW	Mauritania Airways - Mauritania	Mauritania Airways
MTX	Multi Taxi, S.A. de C.V. - Mexico	Multitaxi
MUI	Trans Air (Honolulu, HI)	Maui
MUN	Aeromundo Ejecutivo, S.A. de C.V. - Mexico	Aeromundo
MUT	Azimut, LLC - Russian Federation	Igavia
MVA	Mississippi Valley Airways, Inc. (Lacrosse, WI)	Valair
MVG	Moldova - Republic of Moldova	Moldova-State
MVJ	?	Mira Vista
MVR	Maverick Airways Corporation (Denver, CO) - United States	Mav-Air
MVS	Senok Aviation (Pvt) Ltd	Air Senok
MWG	Maswings - Malaysia	Maswings
MWI	?	Malawian
MWL	?	Midwest Airlink
MWM	?	Modernair
MWN	?	Max Niger
MWS	Malta Wings Co. Ltd	Malta Wings
MWT	Midwest Aviation Division, Inc. (Marshall, MN)	Midwest
MWY	Mauritanienne Air Ways - Mauritania	Mauritanienne
MXA	Compania Mexicana de Aviacion, S.A. - Mexico	Mexicana
MXB	Mex Blue, S.A. de C.V. - Mexico	Mex Blue
MXD	?	Malindo
MXE	Mocambique Expresso - Mozambique	Mozambique Express
MXF	?	Maxflight
MXG	?	Presicencia de Mexico
MXI	?	Mexin
MXM	?	Maxlines
MXO	Aerotaxi Mexicano, S.A. de C.V. - Mexico	Mexaero
MXP	May Air Xpress, Inc. (El Dorado, AR) - United States	Beechnut
MXQ	Transportes Aereos Mexiquenses, S.A. de C.V. - Mexico	Mexiquenses
MXR	Maxim Air (Pvt) Ltd - Indonesia	Maxim Air
MXT	Mexico Transportes Aereos, S.A. de C.V. - Mexico	Transmex
MXU	Maximus Air Cargo - United Arab Emirates	Cargo Max
MXX	Merchant Express Aviation - Nigeria	Merchant
MYA	Myflug H.F.	Myflug
MYD	Maya Island Air - Belize	Myland
MYF	?	My Flight
MYI	Mayair, S.A. de C.V. - Mexico	Mayair
MYK	?	Mylin
MYO	Dominguez Toledo, S.A. (Grupo Mayoral) - Spain	Mayoral
MYP	?	Mann Royal
MYR	?	Mayan
MYS	Aero Yaqui Mayo, S. A. de C.V. - Mexico	Aero Yaqui
MYU	?	Indo
MYV	Lineas Aereas del Mayab, S.A. de C.V. - Mexico	Lineas Mayab
MYX	?	Tallinn Cat
MZS	Mahfooz Aviation	Mahfooz
MZT	First Mandarin Business Aviation Co., Ltd	Zhong Tai
NAB	Niger Air Cargo	Niger Cargo
NAC	Northern Air Cargo, Inc. (Anchorage, AK) - United States	Yukon
NAD	?	Naser Wings
NAF	Royal Netherlands Air Force (Koninklijke  Luchtmacht)	Netherlands Air Force
NAK	France	Enacschool
NAL	Northway Aviation Ltd - Canada	Northway
NAM	Government Air Transport Services (GATS)	Nam
NAN	?	Norship
NAO	North American Airlines, Inc. (Jamaica, NY) - United States	North American
NAR	?	Nica Airways
NAS	Nasair - Eritrea	Nasairways
NAT	North Atlantic Air, Inc. (Danvers, MA) - United States	Mass Air
NAU	?	Danaus
NAV	Nav Flight Planning - Czech Republic	Nav Dispatch
NAX	Norwegian Air Shuttle As	Nor Shuttle
NAY	Navegacion y Servicios Aereos Canarios, S.A. - Spain	Naysa
NAZ	Servicios Aereos del Nazas, S.A. de C.V. - Mexico	Nazas
NBK	Albarka Air Plc - Nigeria	Al-Air
NBL	Republic of Moldova	Nobil Air
NBR	Haughey Air Ltd - United Kingdom	Norbrook
NCA	Nippon Cargo Airlines Co., Ltd. - Japan	Nippon Cargo
NCB	North Caribou Flying Service Ltd. - Canada	North Caribou
NCG	Nederlandse Kustwacht - Netherlands	Netherlands Coastguard
NCH	Chanchangi Airlines (Nigeria) Limited - Nigeria	Chanchangi
NCJ	?	North Central
NCL	ACA-Ancargo Air Sociedade de Transporte de Carga Lda	Ancargo Air
NCN	Nicon Airways Limited	Nicon Airways
NCO	Natalco Air Lines - Sao Tome and Principe	Natalco
NCP	Capital Airlines Limited - Nigeria	Capital Shuttle
NCR	?	National Cargo
NCS	Simpson Air Ltd. - Canada	Commuter-Canada
NCT	?	Big Bird
NDD	?	Nordend
NDF	Namibian Defence Force	Namibian Airforce
NDL	?	Needle
NDN	Transportes Aereos Cielos Andinos S.A.C. - Peru	Andinos
NDT	?	ND Aerotaxis
NDU	University of North Dakota (Grand Forks, ND) - United States	Sioux
NEA	New England Airlines, Inc. (Westerly, RI) - United States	New England
NEC	Necon Air Ltd - Nepal	Necon Air
NEF	Nord-Flyg Ab	Nordex
NEG	Linea Aerea de Fumig. Aguas Negras S.A. - Chile	Aguas Negras
NEJ	?	Net Business
NEN	North-East Airlines Ltd - Nigeria	Northeast Swan
NEP	Neptune Air - Malaysia	Warisan
NET	Network Aviation Services (Nig) Ltd - Nigeria	Network
NEW	?	Northeastern
NEX	Northern Executive Aviation Ltd. - United Kingdom	Neatax
NFA	North Flying A/S	North Flying
NFE	?	Nordic Blue
NFL	Northaire Freight Lines Ltd. (Davisburg, MI) - United States	Great Lakes
NFT	Nefteyugansk Aviation Division - Russian Federation	Nefteavia
NFY	?	Noalux
NGA	W A A C (Nigeria) Ltd. - Nigeria Airways - Nigeria	Nigeria
NGB	Nordic Global Airlines Oy	Nordic Global
NGC	Angoservice, Lda. - Angola	Angoservice
NGF	Angel Flight America (North Andover, MA)	Angel Flight
NGL	?	Maxair Nigeria
NGO	Air-Angol Sociedad Aeronautica, Lda - Angola	Air Angol
NGP	Air Nigeria Plc - Nigeria	Regal Eagle
NGR	Nigerian Air Force	Nigerian Airforce
NGT	?	Nika
NGV	Angoavia - Angola	Angoavia
NGX	Nigerian Global	Air Global
NHC	?	Northern
NHG	NHT Linhas Aereas Ltda. - Brazil	Helga
NHK	Federal Aviation Administration (ATO-330)	Nighthawk
NHL	Northumbria Helicopters Limited - United Kingdom	Northumbria
NHT	New Heights 291 (Pty) Ltd - South Africa	Newheights
NHX	Belgium	Evo
NHZ	Nada Air Service - Chad	Nada Air
NIA	Nile Air - Egypt	Nile Bird
NIE	Aeroejecutiva Nieto, S.A. de C.V. - Mexico	Aeronieto
NIG	Aero Contractors Company of Nigeria Ltd. - Nigeria	Aeroline
NIM	Airnimbus - Portugal (Madeira and Azores)	Nimjet
NIN	Niger Airlines	Niger Airlines
NIS	Nicaraguense de Aviacion, S.A (Nica) - Nicaragua	Nica
NIT	Midwest Aviation Corp. (Davenport, IA)	Nighttrain
NJA	?	Shin Nihon
NJC	?	Nashville Jet
NJE	Netjets, Transportes Aereos S.A. - Portugal	Fraction
NJF	Netjets Middle East - Saudi Arabia	Sunjet
NJR	Norjet, S.A. de C.V. - Mexico	Norjet
NJS	National Jet Systems Group - Australia	National Jet
NJT	?	Netjet
NKA	Anka Aviation Cargo - Egypt	Anka Cargo
NKH	Norsk Helikopterservice A/S	Helinor
NKP	?	Abakan Air
NKS	Spirit Airlines, Inc. (Eastpointe, MI) - United States	Spirit Wings
NKT	?	North Country
NKV	Nikolaev-Air, Airline of Special Purpose - Ukraine	Air Nikolaev
NKY	?	Aeromon
NKZ	Aerokuzbass Ltd	Novokuznetsk
NLA	?	Peninsula
NLE	?	Nellie
NLF	Westair Aviation Inc. - Canada	Northern Life
NLH	Norwegian Long Haul As	Norstar
NLI	?	North Link
NLK	Elbrus-Avia Air Enterprise - Russian Federation	Elavia
NLL	?	Northafrican Air
NLP	Northern Aviation Company Limited - Lao People's  Democratic Republic	Norav
NLU	?	Insel Aruba
NLW	Nile Wings Aviation Services - Sudan	Nile Wings
NLY	Niki Luftfahrt GmbH	Flyniki
NMA	Nesma Airlines	Nesma
NMB	Air Namibia (Pty) Ltd - Namibia	Namibia
NMD	Nomad Aviation (Pty) Ltd T/A Bay Air Aviation - Namibia	Nomad Air
NME	Namaste Air Pvt. Ltd	Namaste Air
NMI	Pacific Wings (Paia, HI) - United States	Tsunami
NML	Gambia New Millennium Air - Gambia	Newmill
NMR	Namibia Rescue Services	E-Med
NOA	National Oceanic & Atmospheric Administration - United States	Noaa
NOC	Norcopter As	Norcopter
NOF	Fonnafly Sjo As	Fonna
NOH	32 (TR) Squadron, RAF Northolt	Northolt
NOJ	Novajet (2106701 Ontario Inc.)	Novajet
NOK	Nok Airlines Co., Ltd - Thailand	Nok Air
NOL	National Overseas Airlines Company - Egypt	Nat Airline
NOR	Norsk Helikopter A/S	Norske
NOS	Neos S.p.A. - Italy	Moonflower
NOT	Linea Aerea Costa Norte S.A. - Chile	Costa Norte
NOV	Nova Airline - Sudan	Novanile
NOW	Royal Norwegian Air Force	Norwegian
NOY	Merhav MNF - Israel	Noy Aviation
NPL	Air Nepal International - Nepal	Air Nepal
NPR	Air Napier Limited - New Zealand	Air Napier
NPT	Atlantic Airlines Ltd	Neptune
NRA	?	Airnoar
NRK	Naturelink Charter (Pty) Ltd - South Africa	Naturelink
NRL	Nolinor Aviation - Canada	Nolinor
NRN	Royal Netherlands Navy (Koninklijke Marine)	Netherlands Navy
NRP	Aeronord-Grup - Republic of Moldova	Aeronord
NRR	Natureair - Costa Rica	Natureair
NRS	?	Rednose
NRT	Norestair, S.L. - Spain	Norestair
NRW	Polizeifliegerstaffel Nordrhein-Westfalen, Dusseldorf	Hummel
NRX	Norse Air Charter - South Africa	Norse Air
NRZ	Servicios Aereos Monarrez, S.A. de C.V. - Mexico	Monarrez
NSA	Nile Safaris Aviation - Sudan	Nile Safaris
NSC	Societe de Transport Aerien de Mauritanie - Mauritania	Trans-Societe
NSE	Satena, Servicios de Aeronavegacion a Territorios Nac - Colombia	Satena
NSF	Northamptonshire School of Flying Ltd - United Kingdom	Norton
NSH	?	North-Shore
NSI	Northern Skies Aviation, Inc. (Laurel, MT) - United States	Northern Skies
NSJ	Nanshan Jet Co., Ltd	Nanshan
NSK	Air Intersalonika - Greece	Intersalonika
NSL	Neric Limited - United Kingdom	Nericair
NSM	Global Jet Corporation (Scottsdale, AZ)	Thundercloud
NSO	Aerolineas Sosa S.A. - Honduras	Sosa
NSP	?	Sam Purse
NSR	?	Air Star
NSS	?	Nesma Connect
NST	Pakistan Aviators & Aviation (Pvt) Ltd - Pakistan	Nishat
NSY	?	Qunying
NTA	Northern Thunderbird Air Ltd. - Canada	Thunderbird
NTB	?	Morabeza
NTC	Gibson Aviation (Eau Claire, WI)	Night Chase
NTF	OK Aviation Wings - Czech Republic	Netflight
NTG	Servicios Integrales de Aviacion, S.A. de C.V. - Mexico	Integrales
NTH	Hokkaido Air System Co., Ltd - Japan	North Air
NTJ	Nextjet	Nextjet
NTK	National Air Traffic Controllers Association (NATCA)	Natca
NTL	Air Anatolia (Anadolu Havacilik A.S.) - Turkey	Air Anatolia
NTN	National Airways Corporation (Pty.) Ltd. - South Africa	Natchair
NTS	Cirrus Air, Inc. (Dallas, TX) - United States	Nite Star
NUB	Nomad Aviation (Europe) Ltd	Valletta
NUK	Strait Air (2000) Ltd - Canada	Nanuck
NUL	Aeroservicios de Nuevo Leon, S.A. de C.V. - Mexico	Servicios Nuevoleon
NUM	Nomad Aviation AG - Switzerland	Bully
NUS	Northern Illinois Flight Center, Inc. (Lake in the Hills, IL) - United States	Enjet
NVC	Nav Canada - Canada	Nav Can
NVD	Avion Express - Lithuania	Nordvind
NVJ	Fly International Airways - Tunisia	Nouvinter
NVK	Nizhnevartovskavia - Russian Federation	Vartovskavia
NVM	Naviera Mexicana, S.A. de C.V. - Mexico	Naviera
NVO	Envuelo, S.L. - Spain	Envuelo
NVQ	?	Novo Air
NVR	Nova Airlines Ab	Navigator
NVS	Nouvelle Air  Affaires Gabon - Gabon	Nouvelle Affaires
NVT	Native American Air Ambulance, Inc. (Mesa, AZ) - United States	Native
NVY	Royal Navy	Navy
NWA	Niger Airways	Soleil Niger
NWD	New World Jet Corporation (Ronkonkoma, NY)	New World
NWF	?	Second City
NWG	Airwing As	Norwing
NWK	Australia	Netlink
NWL	North Wright Air Ltd - Canada	Northwright
NWS	Nord Wind LLC - Russian Federation	Nordland
NWZ	Nationwide Airlines (Zambia) Limited - Zambia	Zamnat
NXN	Nexton, S.A. de C.V. - Mexico	Nexton
NXS	Nexus Aviation Limited - Nigeria	Nexus Aviation
NXU	?	Nexus
NYB	Force Navale Belge - Belgium	Belgian Navy
NYL	Mid Airliners - Sudan	Nile
NYS	Nyasa Express	Nyasa
NYT	Yeti Airlines (Domestic)	Yeti Airlines
NZA	?	Nayzak Air
NZM	Mount Cook Airline Ltd - New Zealand	Mountcook
OAB	Osh Air	Osh Air
OAC	Oriental Airlines Limited	Oriental Air
OAD	Orscom Tourist Installations Company	Orscom
